AC_Name	VALUE	Constituency_No	Constituency_Name
Afzalpur	1	34	Afzalpur
Aland	1	46	Aland
Anekal (SC)	1	177	Anekal
Arabhavi	1	8	Arabhavi
Arkalgud	1	198	Arkalgud
Arsikere	1	194	Arsikere
Athani	1	3	Athani
Aurad (SC)	1	52	Aurad
B.t.m Layout	1	172	B.T.M Layout
Babaleshwar	1	29	Babaleshwar
Badami	1	23	Badami
Bagalkot	1	24	Bagalkot
Bagepalli	1	140	Bagepalli
Bailhongal	1	16	Bailhongal
Bangalore South	1	176	Bangalore South
Bangarapet (SC)	1	147	Bangarapet
Bantval	1	205	Bantval
Basavakalyan	1	47	Basavakalyan
Basavana Bagevadi	1	28	BasavanaBagevadi
Basavanagudi	1	170	Basavanagudi
Belgaum Dakshin	1	12	Belgaum Dakshin
Belgaum Rural	1	13	Belgaum Rural
Belgaum Uttar	1	11	Belgaum Uttar
Bellary (ST)	1	93	Bellary
Bellary City	1	94	Bellary City
Belthangady	1	200	Belthangady
Belur	1	195	Belur
Bhadravati	1	112	Bhadravati
Bhalki	1	51	Bhalki
Bhatkal	1	79	Bhatkal
Bidar	1	50	Bidar
Bidar South	1	49	Bidar South
Bijapur City	1	30	Bijapur City
Bilgi	1	22	Bilgi
Bommanahalli	1	175	Bommanahalli
Byadgi	1	85	Byadgi
Byatarayanapura	1	152	Byatarayanapura
Byndoor	1	118	Byndoor
C.v. Raman Nagar (SC)	1	161	C.V. Raman Nagar
Challakere (ST)	1	98	Challakere
Chamaraja	1	217	Chamaraja
Chamarajanagar	1	223	Chamarajanagar
Chamrajpet	1	168	Chamrajpet
Chamundeshwari	1	215	Chamundeshwari
Channagiri	1	109	Channagiri
Channapatna	1	185	Channapatna
Chickpet	1	169	Chickpet
Chikkaballapur	1	141	Chikkaballapur
Chikkodi - Sadalga	1	2	Chikkodi-Sadalga
Chikmagalur	1	125	Chikmagalur
Chiknayakanhalli	1	128	Chikkanayakanahalli
Chincholi (SC)	1	42	Chincholi
